Timestamp,ADC_Value,Voltage_mV
2026-07-27 14:26:44.248,314,1534.702
2026-07-27 14:26:44.293,314,1534.702
2026-07-27 14:26:44.293,314,1534.702
2026-07-27 14:26:44.293,315,1539.589
2026-07-27 14:26:44.294,316,1544.477
2026-07-27 14:26:44.294,316,1544.477
2026-07-27 14:26:44.294,315,1539.589
2026-07-27 14:26:44.294,317,1549.365
2026-07-27 14:26:44.294,318,1554.252
2026-07-27 14:26:44.294,318,1554.252
2026-07-27 14:26:44.339,318,1554.252
2026-07-27 14:26:44.339,319,1559.14
2026-07-27 14:26:44.340,316,1544.477
2026-07-27 14:26:44.340,315,1539.589
2026-07-27 14:26:44.340,316,1544.477
2026-07-27 14:26:44.340,320,1564.027
2026-07-27 14:26:44.340,321,1568.915
2026-07-27 14:26:44.340,318,1554.252
2026-07-27 14:26:44.341,316,1544.477
2026-07-27 14:26:44.385,316,1544.477
2026-07-27 14:26:44.385,318,1554.252
2026-07-27 14:26:44.385,319,1559.14
2026-07-27 14:26:44.386,318,1554.252
2026-07-27 14:26:44.386,318,1554.252
2026-07-27 14:26:44.386,318,1554.252
2026-07-27 14:26:44.386,318,1554.252
2026-07-27 14:26:44.386,318,1554.252
2026-07-27 14:26:44.387,318,1554.252
2026-07-27 14:26:44.431,317,1549.365
2026-07-27 14:26:44.432,315,1539.589
2026-07-27 14:26:44.432,319,1559.14
2026-07-27 14:26:44.432,323,1578.69
2026-07-27 14:26:44.432,325,1588.465
2026-07-27 14:26:44.432,327,1598.24
2026-07-27 14:26:44.432,329,1608.016
2026-07-27 14:26:44.432,329,1608.016
2026-07-27 14:26:44.434,329,1608.016
2026-07-27 14:26:44.478,328,1603.128
2026-07-27 14:26:44.478,324,1583.578
2026-07-27 14:26:44.482,322,1573.803
2026-07-27 14:26:44.482,320,1564.027
2026-07-27 14:26:44.482,318,1554.252
2026-07-27 14:26:44.482,316,1544.477
2026-07-27 14:26:44.482,318,1554.252
2026-07-27 14:26:44.483,321,1568.915
2026-07-27 14:26:44.483,321,1568.915
2026-07-27 14:26:44.525,320,1564.027
2026-07-27 14:26:44.525,320,1564.027
2026-07-27 14:26:44.525,323,1578.69
2026-07-27 14:26:44.525,324,1583.578
2026-07-27 14:26:44.525,331,1617.791
2026-07-27 14:26:44.525,350,1710.655
2026-07-27 14:26:44.525,396,1935.484
2026-07-27 14:26:44.526,466,2277.615
2026-07-27 14:26:44.528,532,2600.196
2026-07-27 14:26:44.571,477,2331.378
2026-07-27 14:26:44.571,328,1603.128
2026-07-27 14:26:44.572,211,1031.281
2026-07-27 14:26:44.572,185,904.203
2026-07-27 14:26:44.572,251,1226.784
2026-07-27 14:26:44.572,298,1456.5
2026-07-27 14:26:44.572,309,1510.264
2026-07-27 14:26:44.572,323,1578.69
